EleName, EleId, Value, Note
Basic Wall:Generic - 200mm:347943,0,correct,
Basic Wall:Generic - 200mm:350286,1,correct,
Railing:1100mm:349532,2,correct,
Switch_-_Double_3951:Double Switch:361458,3,correct,
Assembled Stair:Stair:349153 Stringer 1,4,correct,
Basic Wall:Generic - 200mm:347460,5,correct,
Assembled Stair:Stair:349153 Stringer 2,6,correct,
Assembled Stair:Stair:349153 Run 1,7,correct,
Railing:1100mm:349536,8,correct,
M_Rectangular Column:475 x 610mm:365844,9,other,6cm
M_Rectangular Column:475 x 610mm:365701,10,other,6cm
Basic Wall:Generic - 200mm:350060,11,correct,
Switch_-_Double_3951:Double Switch:361137,12,other,10cm
Switch_-_Double_3951:Double Switch:361508,13,other,30cm
Basic Wall:Generic - 200mm:347656,14,correct,
Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,100cm
PHILIPS_luxspace-light1,16,other,20cm
PHILIPS_luxspace-light:378021,17,correct,
LiftSign,18,other,6cm
PHILIPS_luxspace-light:376308,19,other,15cm
PHILIPS_luxspace-light:377282,20,other,7cm
Phone,21,incorrect,150cm
ExitSign,22,other,7cm
PHILIPS_luxspace-light:377731,23,correct,7cm
PHILIPS_luxspace-light2,24,correct,
PHILIPS_luxspace-light:377085,25,correct,
PHILIPS_luxspace-light:376919,26,other,20cm
ExitSign2,27,other,20cm
FireExtinguisherSign2,28,correct,
PHILIPS_luxspace-light:376148,29,correct,
